Drug:0 CCC[N+]#[C-]
Drug:66 [H][C@]1(O)O[C@]([H])(CO)[C@]([H])(OS(O)(=O)=O)[C@]([H])(O)[C@@]1([H])N=C(C)O
Drug:67 C1=CC=C(C=C1)CC(=O)NC(=O)N
Drug:68 CC(C)(C)C1=C(C[C@H](N)C(O)=O)C(OCP(O)(O)=O)=NO1
Drug:69 [H]\C(C([O-])=O)=C(/C([O-])=O)[C@@]([H])(O)C([O-])=O
Drug:70 N[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NCc1cccc(Cl)c1
Drug:71 OS(=O)(=O)C=C
Drug:72 CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCN(C)CC1
Drug:73 N[C@@H]1CCCN(C1)c1nc2ccccc2c(=O)n1Cc1ccccc1C#N
Drug:74 CC1=CC=C(C=C1)O
Drug:75 CCOC(=O)C(C)OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1
Drug:76 [H][C@@]1(O)C=C[C@]2(C[C@]([H])(O[C@]1([H])C2)C(O)=O)C(O)=O
Drug:77 C(CC(=O)O)CN
Drug:78 COC1=CC=C(OC(=O)N(CC(O)=O)CC2=CC=C(OCCC3=C(C)OC(=N3)C3=CC=CC=C3)C=C2)C=C1
Drug:79 [H][C@@](CC)(C=O)[C@@]([H])(CNS(=O)(=O)C1=CC=C(C=C1)[N+]([O-])=O)C(O)=O
Drug:80 CCC1=C(NC(=O)OC2=CC3=C(C=C2)N(C)[C@H]2ON(C)CC[C@@]32C)C=CC=C1
Drug:81 NC(N)=NNC(=O)N(C1=CC=CC=C1)C1=CC=CC=C1
Drug:82 [H][C@]1(CO)O[C@@]([H])(SCCCCCCC)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O
Drug:83 CC1=C2N=C(NC3=CC=C(OCCN4CCCC4)C=C3)N=NC2=CC(=C1)C1=CC(OC(=O)C2=CC=CC=C2)=CC=C1Cl
Drug:84 [H][C@@](C)(NC(=O)[C@]([H])(CC1=CC=CC=C1)NC(=O)[C@@]([H])(S)CCCCC)C(O)=O
Drug:85 [H][C@@]12C[C@H](C)[C@](O)(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C
Drug:86 N[C@@H](CN1C=C(F)C(=O)NC1=O)C(O)=O
Drug:87 C(C[C@@H](C(=O)O)N)CNC(=O)N
Drug:88 BrC1=CC=CC(=C1)C1=NC2=[N+](NC=C2)C(NCC2=CC=NC=C2)=C1
Drug:89 CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)C
Drug:90 CC1=CC=C(CCC(O)=O)C=C1
Drug:91 CCN1CCC(CC1)NC2=CC\3=C(C=C2)NC(=O)/C3=C(/C4=CC(=CC=C4)F)\C5=NC=C(N5)C
Drug:92 [H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13O)CCN2CC1CCC1
Drug:93 FC(F)(F)C(=O)CC(=O)C1=CC=CS1
Drug:94 C[C@@H]1[C@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H]3CSC[C@H]4C(=O)N[C@@H](CS1)C(=O)N[C@@H](CNCCCC[C@H](NC(=O)[C@H]([C@H](SC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N4)CCC(=O)N)CCCCN)N)C)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC3=O)[C@H](C(=O)O)O)CC(=O)N)C(=O)O)C(=O)N[C@H](C(=O)NCC(=O)N5CCC[C@H]5C(=O)N[C@H](C(=O)N2)CC6=CC=CC=C6)CC7=CC=CC=C7)C(C)C)CC8=CC=CC=C8
Drug:95 CC1=C(CSCC2=CC(=CC=C2)C(O)(O)C(F)(F)F)C(N)=C2C(F)=CC=CC2=N1
Drug:96 C1CN=C(N1)C1CCCC2=CC=CC=C12
Drug:97 [H][C@]12C=C[C@H](O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)C(O)=O)[C@@H]3OC4=C5C(C[C@H]1N(C)CC[C@@]235)=CC=C4O
Drug:98 NC(=O)N[C@@H](CCC(O)=O)C(O)=O
Drug:99 NS(=O)(=O)C1=C(F)C=CC=C1F
Drug:100 C(CO)N
Drug:101 [H]N(O)C1=NC[C@@H](O)[C@H](O)[C@H]1O
Drug:102 COC1=CC(C(O)C(C)N)=C(OC)C=C1
Drug:103 CCOC1=NC2=C(N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=NN1)C(=CC=C2)C(=O)OC(C)OC(=O)OC1CCCCC1
Drug:104 CC1=CC=C(N2CCNCC2)C(=C1)S(O)(=O)=O
Drug:105 OCCCCC(O)=O
Drug:106 [H][C@@]1(CCN(C1)C(=O)C1=CC=C(NC2=NC(C3=CN=C(C)N3C(C)C)=C(F)C=N2)C=C1)N(C)C
Drug:107 [H][C@](O)(C(=O)NCCC(=O)NCCS)C(C)(C)COC(=O)C(C)(C)C
Drug:108 [H][C@@](C)(NC(=O)OCC1=CC=CC=C1)C(=O)NC[P@](O)(=O)O[C@@]([H])(CC1=CC=CC=C1)C(O)=O
Drug:109 C(C(=O)O)C(=O)O
Drug:110 OC(=O)C[C@@H](Cc1ccccc1)C(O)=O
Drug:111 CN1N=CC2=C1C(NCCC1=CN=C(NC(=O)NC3=CC=CC(=C3)C(F)(F)F)S1)=NC=N2
Drug:112 CN1C(C(=O)NC2=CC=CC=N2)=C(O)C2=C(C=C(Cl)S2)S1(=O)=O
Drug:113 O.O.O.[OH-].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Na+].[Na+].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Drug:114 NC1=NC(OCC2CCCCC2)=C2N=CNC2=C1
Drug:115 [H][C@@]12CC[C@@]([H])(N1C)[C@]([H])(\C=N\OC)[C@H](C2)C1=CC(Cl)=C(Cl)C=C1
Drug:116 NC1=NC2=C(N=C(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)C=N2)C(N)=N1
Drug:117 [H][C@]1(O)C[C@@]([H])(CO)O[C@]([H])(O)[C@]1([H])O
Drug:118 CC(C)CC(NC(=O)CNC(=O)C(CC1=CC=C(O)C=C1)NC(=O)C(CO)NC(=O)C(CC1=CNC2=CC=CC=C12)NC(=O)C(CC1=CN=CN1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NCC(N)=O
Drug:119 C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O)N
Drug:120 CN(C)CCC(O)(C1=CC=CC=C1)C1=CC=CC=C1Cl
Drug:121 [H][C@](N)(CSC(C)=O)C(O)=O
Drug:122 C[C@@H](NCC1=C(O)C(C)=NC=C1COP(O)(O)=O)C(O)=O
Drug:123 [H][C@](O)([C@@]1([H])CCCC=C1)[C@]1(NC(=O)[C@]2([H])CCO[C@]12C)C=O
Drug:124 CCCCCCCCOC1=CC=CC=C1C(=O)NC1=CC=C(C=C1)C(=O)OCC[N+](C)(CC)CC
Drug:125 [H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2
Drug:126 [H][C@@]12C[C@@]3([H])C[C@@](C1)(C[C@@]([H])(C2)[C@@]3([H])NC(=O)C(C)(C)OC1=CC=C(OC)C=C1)C(N)=O
Drug:127 CCN1CCCC1CNC(=O)c1cc(ccc1OC)S(N)(=O)=O
Drug:128 C[C@@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O
Drug:129 CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=NOCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O
Drug:130 OCCOCN1C=C(CC2=CC=CC=C2)C(=O)NC1=O
Drug:131 [H][C@@]12CC[C@](OC(=O)CCCCC)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
Drug:132 C(CC(=O)N[C@@H](CS)C(=O)O)[C@@H](C(=O)O)N
Drug:133 CC#CCOc1ccc(cc1)S(=O)(=O)N[C@H](Cc1c[nH]c2ccc(C)cc12)C(O)=O
Drug:134 [H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OC1CCCC1)C=C3
Drug:135 CC1=NC=C(N=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1
Drug:136 OC1=CC(O)=C2C(CC(=O)CCCC\C=C\CCOC2=O)=C1Cl
Drug:137 C[N+](C)(C)CCCCCC[N+](C)(C)C
Drug:138 C\C=C\C[C@@H](C)C(=O)[C@@H]1N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C(=O)[C@@H](NC1=O)C(C)C)C(C)C
Drug:139 [Cl-].CC(C)OC1=CC=CC(CC(=O)N2CCC[C@](CC[N+]34CCC(CC3)(CC4)C3=CC=CC=C3)(C2)C2=CC(Cl)=C(Cl)C=C2)=C1
Drug:140 [O-][N+](=O)OC[C@@H](O[N+]([O-])=O)[C@H](CO[N+]([O-])=O)O[N+]([O-])=O
Drug:141 [13NH3]
Drug:142 COC1=CC=CC(CC2=CNC3=C2C=CC=N3)=C1
Drug:143 CC1=CC(=CC=C1)[C@]12SCCN1C(=O)C1=CC=CC=C21
Drug:144 NC(CCC(=O)NC(CSCO)C(=O)NCC(O)=O)C(O)=O
Drug:145 [H][C@@]1(O)O[C@@]([H])(C(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])O
Drug:146 CN(C)CC1=CC=C(O1)C1=CC=CN=C1
Drug:147 C(NC1=CC(=NC2=C(C=NN12)C1CC1)C1=CC=CC=C1)C1=CN=CC=C1
Drug:148 C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O
Drug:149 O=C1NC2=C(C=CC=C2)\C1=C1/NC2=C(C=CC=C2)C1=O
Drug:150 CC1=CC(NC2=NC(NC3=CC=C(CC(O)=O)C=C3)=NC=C2C(N)=O)=CC=C1
Drug:151 ClC1=CC(OC2=C(Cl)C=CC(OCC3=NNC4=NC=CC=C34)=C2)=CC(=C1)C#N
Drug:152 CN(C)CCC1=CNC2=C1C=C(O)C=C2
Drug:153 F[C@H]1CN(CC(=O)Nc2ccc(cc2F)-n2ccccc2=O)C[C@@H]1NC(=O)c1ccc(Cl)s1
Drug:154 C1CCN(CC1)C1(CCCCC1)C1=CC=CS1
Drug:155 C1=CC=C(C=C1)CC(=O)C(=O)O
Drug:156 O\N=C\C1=C2C=CC=CC2=C(C=C1)C1=CC=C(O)C=C1
Drug:157 C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O
Drug:158 OC(C1=CC=C(C=C1)N(CC(F)(F)F)S(=O)(=O)C1=CC=CC=C1)(C(F)(F)F)C(F)(F)F
Drug:159 CC1=CC=CC(C)=C1C(=O)NC1=CC(Br)=C(O)C(Br)=C1
Drug:160 CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)c1ccccc1
Drug:161 [H][C@@]12CC[C@@]3(CCC(C)(C)C(=O)O3)[C@@]1(C)CC[C@]1([H])C3=CC=C(C=C3CC[C@@]21[H])C(N)=O
Drug:162 NC(=[NH2+])C1=CC=C2NC(=NC2=C1)C1=CC(OC(F)(F)F)=CC=C1[O-]
Drug:163 OC[C@H]1O[C@@]2(NC(=S)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O
Drug:164 NC(=O)[C@H]1C=[N+](C=CC1=O)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
Drug:165 [H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C
Drug:166 CC1=CC=CC=C1CNC(=O)[C@H]1N(CSC1(C)C)C(=O)[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CC=CC(O)=C1C
Drug:167 [H]N([C@H](CO)C1=CC(Cl)=CC=C1)C(=O)C1=CC(=CN1[H])C1=CC(=NC=C1Cl)N([H])C(C)C
Drug:168 C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H](C5(C)C)O)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O
Drug:169 C[C@@H](NCCCc1cccc(c1)C(F)(F)F)c1cccc2ccccc12
Drug:170 [H][C@@](O)(C1=CC=CC2=CC=CC=C12)P(O)(O)=O
Drug:171 OCCOCN1C=C(CC2=CC=CC(OCC3=CC=CC=C3)=C2)C(=O)NC1=O
Drug:172 NC1=NC=NC(NC2=CC=C(C=C2)S(N)(=O)=O)=C1
Drug:173 [H][C@@](CS(=O)(=O)CC1=CC=CC=C1)(N[C@@]([H])(C1=CC=C(O)C=C1)C(F)(F)F)C(=O)NC1(CN)CC1
Drug:174 CCN(CC)C(C)CN1C2=CC=CC=C2SC2=CC=CC=C12
Drug:175 CN(CCCl)CCCl
Drug:176 CCCCCC[C@@H]([C@@H](C)O)n1cnc2c(N)ncnc12
Drug:177 CCN1C=C(C(O)=O)C(=O)C2=C1C=C(C=C2)C1=CC=NC=C1
Drug:178 CN1CCc2nc(sc2C1)C(=O)N[C@@H]1CCCC[C@@H]1NC(=O)c1cc2cc(Cl)ccc2[nH]1
Drug:179 CC[C@H](C)[C@H](N)C1=N[C@@H](CS1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(O)=O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@H]1CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(O)=O)NC(=O)[C@H](CC2=CNC=N2)NC(=O)[C@@H](CC2=CC=CC=C2)NC(=O)[C@@H](NC(=O)[C@@H](CCCN)NC1=O)[C@@H](C)CC
Drug:180 [H][C@@](CC1=CC=C(F)C=C1)(NC(=O)C1=CC2=C(N1)C=CC(Cl)=C2)C(=O)N1CCC(O)CC1
Drug:181 CCCN(CCC1=CC=CS1)[C@H]1CCC2=C(O)C=CC=C2C1
Drug:182 [H][C@@](N)(CC1=CC=CC=C1)C(=O)N1CCC[C@@]1([H])C(=O)NCCNC1=CC=NC=C1
Drug:183 [H][C@@]1(O)OC(C(O)=O)=C(O)[C@]([H])(O)[C@@]1([H])O
Drug:184 CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
Drug:185 CC(C)C[C@H](NC(=O)[C@@H](CC1=CC=C(NC(N)=O)C=C1)NC(=O)[C@H](CC1=CC=C(NC(=O)[C@@H]2CC(=O)NC(=O)N2)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CC=CN=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC=C2C=CC=CC2=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
Drug:186 [H]/C(=C(/[H])\C(\C)=C(/[H])C(O)=O)/C(/[H])=C(\C)/C(/[H])=C(\[H])C1=C(C)C=C(O)C(C)=C1C
Drug:187 CC(COc1ccccc1)N(CCCl)Cc1ccccc1
Drug:188 NCC1CCN(CC(=O)NC2=CC=CC3=C2C(=O)C2=C(NN=C32)C2CCCCC2)CC1
Drug:189 CCCCCCCCCCCCC/C=C/[C@H]([C@H](CO)N)O
Drug:190 C1=CC(=C(C=C1/C=C/C2=CC(=CC(=C2)O)O)O)O
Drug:191 [H][C@@]1(CCCN1S(=O)(=O)C1=CC=C(C)C=C1)C(O)=O
Drug:192 [H][C@](C)(N)[C@@]1([H])CC[C@@]([H])(CC1)C(=O)NC1=CC=NC=C1
Drug:193 N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12
Drug:194 CC1=CC(=CC=C1F)C1=CSC(NC2=CC=C(C(O)=O)C(O)=C2)=N1
Drug:195 ClC1=CC=C(C=C1)C1=NNC(=C1)C1CCNCC1
Drug:196 OC1=C(Br)C=C(NC(=O)C2=CC(Cl)=CC=C2Cl)C=C1Br
Drug:197 CC(C)(C)C1=CC(=CC=C1N1CCCC1)C1=CC(=CC=C1OCCO)C1=CC=C(C=C1)C(O)=O
Drug:198 NS(=O)(=O)C1=CC=C2CCCC2=C1
Drug:199 COC(=O)C1=C(O)C=CC=C1OC\C=C\C1=CC(C2=CC(=NO2)C(O)=O)=C(F)C=C1
Drug:200 CC[C@H](C)[C@@H](C(=O)O)N
Drug:201 C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C\C(O)=O
Drug:202 CN1CCC2=C(C1)C(C1=CC=CC=C21)C1=CC=CC=C1
Drug:203 C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N
Drug:204 CSCC[C@H](N)P(O)=O
Drug:205 NS(=O)(=O)C1=CC=C(C=C1)C(=O)NCC1=C(F)C=CC=C1F
Drug:206 [H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@]([H])(CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCC(O)=O)C(C)=O
Drug:207 OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC[C@H]2O
Drug:208 C(=C/C(=O)[O-])\C(=O)[O-].[Fe+2]
Drug:209 NC1=CC=C(C=C1[Hg])S(N)(=O)=O
Drug:210 S=C1N=CNC2=C1NC=N2
Drug:211 O=C1C(CCS(=O)C2=CC=CC=C2)C(=O)N(N1C1=CC=CC=C1)C1=CC=CC=C1
Drug:212 [H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]
Drug:213 OC(=O)C1=CNC(=N1)C1=CC=CC=C1
Drug:214 OC1=C(SCC\C=C\P(O)(O)=O)C=CC=C1
Drug:215 CC(=CCC1=C(C=CC(=C1O)C(=O)/C=C/C2=CC=C(C=C2)O)OC)C
Drug:216 [H][C@](S)(CCS)CCCCC(N)=O
Drug:217 [H][C@@]1(C)CNC2=C(SC3=C2C2=C(C=C3)N=C(C=C2)C2=CN=C(C)C=C2)C(=O)N1
Drug:218 C[C@H](NC1=NC(=O)[C@@](C)(S1)C(C)(C)O)C1=CC=C(F)C=C1
Drug:219 ClC1=CC=C2CCNCC2=C1Cl
Drug:220 CN1CCC(CC1)=C1C2=C(CCC3=CC=CC=C13)SC=C2
Drug:221 NC(=N)C1=CC2=C(NC(CC3=NC4=C(N3)C=CC=C4)=N2)C=C1
Drug:222 C(C[C@@H](C(=O)O)N)CN=C(N)N
Drug:223 [H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@](CC)([C@@]13[H])[C@@]([H])(OC(C)=O)[C@]2(O)C(=O)OC)[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC
