Drug:4171 CN(C)CCOC1=CC=CC=C1CC1=CC=CC=C1
Drug:4601 C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O
Drug:5753 C[C@H](\C=C(/C)\C=C\C(=O)NO)C(=O)c1ccc(cc1)N(C)C
Drug:403 CS(=O)(=O)C1=CC(C[C@H](NC(=O)C2=C(Cl)C3=C(CN(CC3)C(=O)C3=CC=C4C=COC4=C3)C=C2Cl)C(O)=O)=CC=C1
Drug:6137 C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O
Drug:1298 COC(=O)C1=CC=C2C(NC(=O)\C2=C(/NC2=CC=C(C=C2)N(C)C(=O)CN2CCN(C)CC2)C2=CC=CC=C2)=C1
Drug:6216 ClC1=CC(=CC(OC2=C(Cl)C=CC(OCC3=NNC4=C3C=CC=C4)=C2)=C1)C#N
Drug:3807 CN(C)CCC[C@]1(OCc2cc(ccc12)C#N)c1ccc(F)cc1
Drug:3182 COC1=CC=C(C=C1OC1CCCC1)C(=O)NC1=C(Cl)C=NC=C1Cl
Drug:1806 N[C@@H](CCCCO)C(O)=O
Drug:2405 C1C[C@H](NC1)C(=O)O
Drug:6022 C([C@@H](C(=O)O)N)OP(=O)(O)O
Drug:4886 NC1=CC=NC=C1N
Drug:62 CC(C)C[C@@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)COC1=C(C)C=CC=C1C)NC(=O)C1=CC=CC(N)=C1
Drug:1887 [H][C@]1(OC2=C(S[C@]1([H])C1=CC=C(O)C=C1)C=C(O)C=C2)C1=CC=C(OCCN2CCCCC2)C=C1
Drug:5161 [H]N([C@H]1N([H])C[C@H](CO)[C@H](O)[C@@H]1O)C(C)=O
Drug:181 CCCN(CCC1=CC=CS1)[C@H]1CCC2=C(O)C=CC=C2C1
Drug:2799 COC1=CC2=C(SC3=C(C=CC=C3)N2C[C@H](C)CN(C)C)C=C1
Drug:1572 [H][C@](N)(CC1=CC=CC=C1)C(O)[C@@]([H])(N)CC1=CC=CC=C1
Drug:3368 [H][C@@](CCCO)(C(=O)NO)[C@@]([H])(CC(C)C)C(=O)N[C@@]1([H])CCCCN(CCOC)C1=O
Drug:6503 CCC1=C(C(=O)C(N)=O)C2=C(OCC(=O)OC)C=CC=C2N1CC1=CC=CC=C1
Drug:5947 O=C1NC(=O)[C@H]([C@@H]1C1=CNC2=CC=CC=C12)C1=CN2CCCC3=C2C1=CC=C3
Drug:6406 C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl
Drug:3781 CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)C1=NC(C2=CC=CC=C2)=C(N=C1)C1=CC=CC=C1
Drug:2042 [H][C@]1(NC2=CC(Cl)=C(C=C2S(=O)(=O)N1)S(N)(=O)=O)C(Cl)Cl
Drug:452 O.Cl.CC1=CC2=C(N=C(N=C2S1)N1CCNCC1)C1=CC=CC=C1F
Drug:2335 OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(\C=C\Br)C(=O)NC1=O
Drug:3477 OC(=O)C[C@@H](NC(=O)c1cc(cs1)-c1ccc(cc1)-c1ccncc1)c1ccccc1
Drug:1583 OCCCCO
Drug:4594 CN1C=NN=C1SC1=CC=C(N)C(=C1)C(=O)NC1=NC(C)=CS1
Drug:4197 CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc12
Drug:1791 CC(=O)C1=C(C)N=C(NC2=CC=CC=C2)S1
Drug:1416 COC1=CC(CC2=C[NH+]=C(N)N=C2N)=CC(OC)=C1OC
Drug:3787 OC(CC1=CN=C2C=CC=CN12)(P(O)(O)=O)P(O)(O)=O
Drug:1585 [H][C@@]1(CCNC(=O)C2=COC=C2)NC2=C(F)C=CC(F)=C2C(N)=N1
Drug:695 CCCCCCCCCCCCSC1=C(N=NN1)C(O)=O
Drug:803 [H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)CSCC#N)OC)C(O)=O
Drug:3294 CCOP(=O)(OCC)SCC[N+](C)(C)C
Drug:3371 NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O
Drug:6020 CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1/C[C@@H](O)CC[C@@H]1C
Drug:2094 COCCOC1=CC2=C(C=C1OCCOC)C(NC1=CC(=CC=C1)C#C)=NC=N2
Drug:1799 CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O
Drug:6439 CN(C)CC[C@@H](C1=CC=C(Br)C=C1)C1=CC=CC=N1
Drug:6123 [Ca++].[N-]=C=[N-]
Drug:6327 CC1=CC=C(CN2C=NC(=C2)C2=CC=CS2)C=C1
Drug:4037 NCCCC(O)(P(O)(O)=O)P(O)(O)=O
Drug:2735 CCC1=NC(C2CC2)=C(N1CC1=CC2=C(OC(=C2Br)C2=CC=CC=C2NS(=O)(=O)C(F)(F)F)C=C1)C(N)=O
Drug:2200 CN1C2=C(C=C(C=C2)[N+]([O-])=O)C(=NCC1=O)C1=CC=CC=C1F
Drug:6088 CCC1=C(C)NC(=O)C(I)=C1OC1=CC=CC(\C=C\C#N)=C1
Drug:5595 ClC1=CC=C(NC2=NN=C(CC3=CC=NC=C3)C3=CC=CC=C23)C=C1
Drug:1142 CC1=CC=C(C=C1)S(=O)(=O)N1N=CC2=C(C=CC=C2)B1O
Drug:475 [H][C@](N)(COP(O)(=O)OC(C)C)C(O)=O
Drug:1703 CC(=O)NC1=NC(=C(N1)C1=CC=C2N=CC=NC2=C1)C1=NC(C)=C(F)C=C1
Drug:1664 COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C
Drug:219 ClC1=CC=C2CCNCC2=C1Cl
Drug:654 CCOC(=O)C1=C(C)NC(C)=C(C1C1=C(Cl)C(Cl)=CC=C1)C(=O)OC
Drug:5338 C1=CC(=CC=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O
Drug:3799 CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
Drug:708 COC1=NC=CN=C1NS(=O)(=O)C1=CC=C(N)C=C1
Drug:381 OC(=O)C(Cl)Cl
Drug:6171 CC1(C=CC2=C(O1)C=C3C(=C2OC)C=CC(=O)O3)C
Drug:2810 COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(=O)OCC(O)=O
Drug:2177 [H][C@]1(N=C(N(C(=O)N2CCN(CCO)CC2)[C@]1([H])C1=CC=C(Br)C=C1)C1=C(OCC)C=C(OC)C=C1)C1=CC=C(Br)C=C1
Drug:1683 [H]N(C)C1=C(Br)C=C(C(=O)N([H])[C@@H]2CN(C)CCN(CC)C2)C(OC)=C1
Drug:719 [H][C@]1(COC2=CC=C(NCC3=CC=CC=C3)C=C2)CCCN1
Drug:3847 CCCN(CCc1cccs1)C1CCc2c(O)cccc2C1
Drug:5642 OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1
Drug:4922 COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O
Drug:4069 CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C
Drug:717 [H][C@]1(CC2=C(Cl)C=CC=C2)CCCN1C(=O)C1=CC(Br)=CC=C1N
Drug:227 CC1=NC=C(C(=C1O)CO)CO
Drug:417 CC(C)CN1C=NC2=C1C1=CC=CC=C1N=C2N
Drug:2602 [H][C@](O)(OC)C1=CC=C(CN2[C@]([H])(COC3=CC=CC=C3)[C@]([H])(O)[C@@]([H])(O)[C@@]([H])(COC3=CC=CC=C3)N(CC3=CC=C(CO)C=C3)S2(=O)=O)C=C1
Drug:123 [H][C@](O)([C@@]1([H])CCCC=C1)[C@]1(NC(=O)[C@]2([H])CCO[C@]12C)C=O
Drug:6150 CC1=C2C(=O)N(C(=O)C2=CC=C1)C1=CC=NC(Cl)=C1
Drug:60 C[C@]1(OC(=O)N(NC2=CC=CC=C2)C1=O)C1=CC=C(F)C=C1F
Drug:5775 CN(C)CC\C=C1\C2=CC=CC=C2SC2=CC=C(Cl)C=C12
Drug:3601 CC(=O)[O-].CC(=O)[O-].[Zn+2]
Drug:4970 C[C@]12CC[C@H]3[C@@H](CCc4cc(ccc34)C(N)=O)[C@@H]1CC[C@@]21CCC(C)(C)C(=O)O1
Drug:6399 [H][C@](O)(CNC(C)(C)C)COC1=NSN=C1N1CCOCC1
Drug:3648 CC[C@H](CO)NC1=NC(NCC2=CC=CC=C2)=C2N=CN(C(C)C)C2=N1
Drug:2237 COc1cc[nH]c1\C=C1/C(=O)Nc2ccc(F)c(C#C[C@H](O)[C@H](N)[C@H](C)O)c12
Drug:1843 C1[C@@H]2CN(CN2C3=C(N1)N=C(NC3=O)N)C4=CC=C(C=C4)C(=O)N[C@@H](CCC(=O)O)C(=O)O
Drug:801 CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)O
Drug:2421 [H][C@@](NC(=O)CC1=CC=CS1)(B(O)O)C1=CC(=CC=C1)C(O)=O
Drug:4231 OC(=O)CN1C(=O)C2=C(C(=CC3=CC=CC=C23)C(O)=O)S1(=O)=O
Drug:3098 [H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
Drug:3041 CCCCCCCCCCCC[N+](C)(C)[O-]
Drug:4023 N\C=C\OP(O)(O)=O
Drug:1000 COC1=CC(NC2=NC=C(F)C(NC3=NC4=C(OC(C)(C)C(=O)N4COP(O)(O)=O)C=C3)=N2)=CC(OC)=C1OC
