ID,Database,SMILES,Article_DOI,Affinity(kcal/mol)
CHEMBL1908919,ChEMBL,CNc1ccc(/C=C/c2ccc(OCCOCCOCCF)nc2)cc1,,-6.531
CHEMBL1926773,ChEMBL,CN(CCF)c1ccc(/C=C/c2nc3ccccc3[nH]2)cc1,10.1016/j.bmc.2011.09.065,-7.069
CHEMBL3758709,ChEMBL,CN(C)c1ccc(COc2ccc(OCCF)cc2)cc1,10.1016/j.ejmech.2015.09.028,-6.089
CHEMBL330529,ChEMBL,CNc1ccc(-c2nc3ccc(C)cc3s2)cc1,10.1021/jm030026b,-6.934
CHEMBL3629740,ChEMBL,O=C1OCC[C@]12CCC[C@@]1(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]21,,-7.205
CHEMBL3593928,ChEMBL,COc1cccc(CN2C(=O)/C(=C\C=C\c3ccc([N+](=O)[O-])cc3)c3ccccc32)c1,10.1021/acs.jmedchem.5b00571,-7.828
DB14518,DrugBank,[Al+3].CC([O-])=O.CC([O-])=O.CC([O-])=O,10.1016/j.brainres.2006.07.112,-2.505
CHEMBL3905228,ChEMBL,C[P@]1(=O)OC[C@@]2(CCC[C@@]3(S(=O)(=O)c4ccc(C(F)(F)F)cc4)c4c(F)ccc(F)c4OC[C@@H]23)CO1,,-7.108
CHEMBL3942223,ChEMBL,C[P@]1(=O)OC[C@]2(CCC[C@@]3(S(=O)(=O)c4ccc(C(F)(F)F)cc4)c4c(F)ccc(F)c4OC[C@@H]23)CO1,,-7.123
CHEMBL3909054,ChEMBL,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1cncnc1,,-7.466
CHEMBL3956918,ChEMBL,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)Cc1ncon1,,-7.569
CHEMBL381708,ChEMBL,CN(C)c1ccc(-c2cn3cc(CCF)ccc3n2)cc1,10.1016/j.bmcl.2006.02.055,-6.83
CHEMBL236183,ChEMBL,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCN(CCCO)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,10.1016/j.bmcl.2007.08.013,-6.783
CHEMBL231916,ChEMBL,CN(C)c1ccc(C#Cc2cnc(OCCO)c(I)c2)cc1,10.1016/j.bmcl.2007.04.062,-6.009
CHEMBL566354,ChEMBL,CN(C)c1ccc2nc(-c3ccc(F)cc3)sc2c1,10.1021/jm900871v,-6.99
CHEMBL1926769,ChEMBL,CN(CCF)c1ccc(/C=C/c2nc3ccccc3s2)cc1,10.1016/j.bmc.2011.09.065,-6.494
CHEMBL2407616,ChEMBL,CN(C)c1ccc(-c2cnc3cc(OCCF)ccc3n2)cc1,10.1021/ml4000707,-6.991
