ID,Database,SMILES,Article_DOI,Affinity(kcal/mol)
CHEMBL480349,ChEMBL,CS(=O)(=O)CCNCc1ccc(-c2cc3c(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)ncnc3s2)o1,10.1016/j.bmcl.2008.12.011,-8.664
CHEMBL4744985,ChEMBL,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(CCCCC(=O)NO)nn1,10.1016/j.ejmech.2021.113173,-8.515
CHEMBL1645469,ChEMBL,Cc1ccccc1Nc1ncnn2ccc(CN3CCC(N)CC3)c12,10.1016/j.bmcl.2010.11.100,-8.173
CHEMBL3344211,ChEMBL,CCNC(CS(C)(=O)=O)c1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,10.1016/j.ejmech.2014.10.006,-9.118
CHEMBL214689,ChEMBL,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)c(Br)c4)c3c2)o1,10.1016/j.bmcl.2006.05.090,-9.06
CHEMBL256060,ChEMBL,C[C@H](Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)N(C)CCO,10.1016/j.bmcl.2007.11.052,-8.516
CHEMBL3961532,ChEMBL,CCC(=O)Nc1cc2c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncnc2cc1OC,10.1021/acs.jmedchem.6b00883,-7.998
CHEMBL4476544,ChEMBL,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(CCCO)nn1,10.1016/j.bmcl.2018.12.020,-8.587
CHEMBL567873,ChEMBL,CCC1=C2C(Nc3ccc4c(cnn4Cc4ccccc4)c3)=NC=NC2N=C1NC(=O)OC[C@@H]1COCCN1,10.1021/jm9010065,-9.165
CHEMBL1922897,ChEMBL,Clc1cc(Nc2ncnc3cc[nH]c23)ccc1Oc1ccccc1,10.1021/jm2008634,-8.843
CHEMBL1645470,ChEMBL,Cc1cccc(Nc2ncnn3ccc(CN4CCC(N)CC4)c23)c1,10.1016/j.bmcl.2010.11.100,-8.545
CHEMBL1934628,ChEMBL,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#Cc1ccc(CN2CCCC2)s1,10.1016/j.bmcl.2011.10.103,-9.191
CHEMBL597752,ChEMBL,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCC(=O)NO,10.1021/jm901453q,-8.019
CHEMBL93049,ChEMBL,COCOCC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,10.1021/jm7013875,-8.542
CHEMBL583218,ChEMBL,CCC1=C2C(Nc3ccc4c(cnn4Cc4ccccc4)c3)=NC=NC2N=C1NC(=O)OCC1CCNCC1,10.1021/jm9010065,-9.333
CHEMBL402657,ChEMBL,C[C@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12)C(=O)N(C)C,10.1016/j.bmcl.2008.02.035,-9.653
DB08462,DrugBank,C=CC(=O)Nc1ccc2ncnc(Nc3ccccc3)c2c1,,-8.402
CHEMBL466174,ChEMBL,CCNC(=O)O[C@H]1CN[C@@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,10.1016/j.bmcl.2008.11.023,-8.9
CHEMBL598163,ChEMBL,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCCC(=O)NO,10.1021/jm901453q,-7.263
CNP0263149,COCONUT,N=C1NC(=O)C2(O)C(NC(=O)C3CCCN3C(=O)C(CNC(=O)C=CC(Cc3ccc(O)cc3)NC(=O)C(N)Cc3ccccc3)NC=O)CCCN12,,-9.247
CHEMBL567940,ChEMBL,CN(C)C(=O)O[C@H]1C[C@H](C(=O)NO)[C@@H](C(=O)N2CCN(c3ccccc3)CC2)N(C)C1,10.1016/j.bmcl.2009.07.052,-8.26
CNP0294175,COCONUT,CCOc1ccc(NC(=O)C(Cc2ccccc2)NC(=O)C2CCN(C(=O)C3CCCN3)CC2)cc1,,-9.591
CHEMBL1923006,ChEMBL,OCCn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21,10.1021/jm2008634,-8.923
CNP0421195,COCONUT,CC#Cc1ccc(-c2ccc(C(=O)C3CCC(C(Cc4cc(O)cc(NCC(C)O)c4)NC(=N)NC4CCCCC4)CC34CCCC4)s2)s1,,-7.212
CHEMBL255237,ChEMBL,COCCO/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2cccc(F)c2)c1,10.1016/j.bmcl.2008.05.024,-8.907
CHEMBL4561606,ChEMBL,O=C(/C=C/CN1CCCC1)N1CCOc2cc3ncnc(Nc4ccc(F)c(Cl)c4)c3cc21,10.1016/j.bmcl.2016.08.007,-9.498
CHEMBL515664,ChEMBL,COC[C@H]1CCCN1/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2cccc(F)c2)c1,10.1016/j.bmcl.2008.07.020,-9.193
DB15035,DrugBank,NC(=O)C1=C2NCC[C@@H](C3CCN(CC3)C(=O)C=C)N2N=C1C1=CC=C(OC2=CC=CC=C2)C=C1,10.1182/blood.2019001160,-9.223
CNP0235028,COCONUT,COC1C=CC=CC=CCC(OC(=O)C2(NC(=O)C3CCCCC3)CC2)C(C)C(O)C(C)=CCCC2=CC(=O)C=C(NC(=O)C1)C2=O,,-9.166
CHEMBL596736,ChEMBL,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCC(=O)NO,10.1021/jm901453q,-7.294
CHEMBL4592101,ChEMBL,CCCOCCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,10.1016/j.bmcl.2018.12.056,-8.051
CHEMBL497184,ChEMBL,CCO[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,10.1016/j.bmcl.2008.09.090,-9.156
CNP0192468,COCONUT,O=C(NC(Cc1ccccc1)C(=O)Nc1ccc(F)cc1)C1CCN(C(=O)C2CCCN2)CC1,,-9.96
CHEMBL373207,ChEMBL,CCN(CC)CC#CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,10.1021/jm050936o,-9.101
CHEMBL425738,ChEMBL,CCOC(=O)c1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1,10.1016/j.bmcl.2005.07.027,-9.149
DB14487,DrugBank,CC(=O)[O-].CC(=O)[O-].[Zn+2],,-3.607
CNP0266780,COCONUT,Cc1ccc(NC(=O)C(Cc2ccccc2)NC(=O)C2CCN(C(=O)C3CCCN3)CC2)cc1,,-10.327
CHEMBL4796265,ChEMBL,CN1CCN(CC(=O)Nc2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)CC1,10.1021/acs.jmedchem.0c01647,-9.556
CHEMBL257198,ChEMBL,C[C@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4nccs4)c3)c12)C(=O)N(C)C,10.1016/j.bmcl.2008.02.035,-8.936
CNP0339448,COCONUT,COC1C=CC=CC=CCC(OC(=O)C2(NC(=O)C3CCCCC3)CC2)C(C)C(O)C(C)=CCCc2cc(O)cc(c2O)NC(=O)C1,,-9.234
CNP0037854,COCONUT,COC(=O)C(Cc1cccnc1)NC(=O)C1CN(C(=O)Nc2ccccc2)CCN1C(=O)C1CCCCC1,,-9.006
CHEMBL500381,ChEMBL,CCC(=O)O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,10.1016/j.bmcl.2008.09.090,-8.715
CHEMBL2048912,ChEMBL,CC(C)(N)C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21,10.1021/jm300185p,-8.665
DB00878,DrugBank,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,,-8.367
CHEMBL466175,ChEMBL,CN(C)C(=O)O[C@H]1CN[C@@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,10.1016/j.bmcl.2008.11.023,-9.202
DB14080,DrugBank,CC(=O)N[C@@H](CS)C(=O)[O-].CC(=O)N[C@@H](CS)C(=O)[O-].[Mg+2],,-4.279
CNP0004485,COCONUT,NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C1CN(S(=O)(=O)c2ccccc2)CCN1C(=O)C1CCNCC1,,-9.963
CHEMBL373853,ChEMBL,Cc1cc([N+](=O)[O-])ccc1C1=CCN(C(=O)[C@H]2NCC3(CC3)C[C@@H]2C(=O)NO)CC1,10.1021/jm061344o,-9.312
DB14481,DrugBank,O.O.O=P([O-])([O-])O.[Ca+2],,
CHEMBL233324,ChEMBL,O=C1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CCN1,10.1016/j.bmcl.2007.02.050,-9.875
FDB014736,FooDB,O.O.O.O=P([O-])([O-])O.[Mg+2],,
CHEMBL598610,ChEMBL,COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCCCCC(=O)NO,10.1021/jm901453q,-8.167
CHEMBL280757,ChEMBL,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Br)c3)c2c1,10.1021/jm9806603,-8.49
CHEMBL2148050,ChEMBL,CS(=O)(=O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21,10.1016/j.bmc.2012.08.002,-8.605
CHEMBL501050,ChEMBL,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(Sc5cccc(F)c5)c(Cl)c4)c3s2)C1)N1CCOCC1,10.1016/j.bmcl.2009.01.080,-9.61
CHEMBL1630112,ChEMBL,Nc1ccccc1NC(=O)c1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)s1,10.1021/jm100665z,-10.594
CNP0091004,COCONUT,CC#Cc1ccc(-c2ccc(C(=O)C3CCC(C(Cc4cc(O)cc(NCC(C)O)c4)NC(=N)NC)CC34CCC(C(O)CO)C4)s2)s1,,-9.035
CHEMBL233325,ChEMBL,O[C@H]1CNCCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)C1,10.1016/j.bmcl.2007.02.050,-10.34
DB02482,DrugBank,C[C@H](OP(=O)(O)O)[C@@H](N)C(=O)O,,-4.903
CHEMBL1645472,ChEMBL,NC1CCN(Cc2ccn3ncnc(Nc4cccc(F)c4)c23)CC1,10.1016/j.bmcl.2010.11.100,-8.342
CNP0094190,COCONUT,CC#Cc1ccc(-c2ccc(C(=O)C3CCC(C(Cc4cc(O)cc(NCC(C)O)c4)NC(=N)NC4CCCC4)CC34CCC(C(O)CO)C4)s2)s1,,-9.369
CHEMBL3943512,ChEMBL,CCC(=O)Nc1cc2c(Nc3ccc(Oc4ccccc4)cc3)ncnc2cc1OC,10.1021/acs.jmedchem.6b00883,-8.507
