head,relation,tail,label
Durg::299,drug_target_interaction,Protein::494,1.0
Durg::376,drug_target_interaction,Protein::26,1.0
Durg::185,drug_target_interaction,Protein::328,1.0
Durg::624,drug_target_interaction,Protein::435,1.0
Durg::112,drug_target_interaction,Protein::459,1.0
Durg::369,drug_target_interaction,Protein::33,1.0
Durg::564,drug_target_interaction,Protein::288,1.0
Durg::11,drug_target_interaction,Protein::49,1.0
Durg::652,drug_target_interaction,Protein::647,1.0
Durg::388,drug_target_interaction,Protein::988,1.0
Durg::340,drug_target_interaction,Protein::328,1.0
Durg::506,drug_target_interaction,Protein::49,1.0
Durg::225,drug_target_interaction,Protein::288,1.0
Durg::20,drug_target_interaction,Protein::1060,1.0
Durg::58,drug_target_interaction,Protein::435,1.0
Durg::101,drug_target_interaction,Protein::322,1.0
Durg::43,drug_target_interaction,Protein::989,1.0
Durg::694,drug_target_interaction,Protein::368,1.0
Durg::138,drug_target_interaction,Protein::997,1.0
Durg::63,drug_target_interaction,Protein::28,1.0
Durg::610,drug_target_interaction,Protein::48,1.0
Durg::26,drug_target_interaction,Protein::694,1.0
Durg::521,drug_target_interaction,Protein::1010,1.0
Durg::616,drug_target_interaction,Protein::175,1.0
Durg::292,drug_target_interaction,Protein::48,1.0
Durg::148,drug_target_interaction,Protein::164,1.0
Durg::617,drug_target_interaction,Protein::423,1.0
Durg::696,drug_target_interaction,Protein::243,1.0
Durg::140,drug_target_interaction,Protein::67,1.0
Durg::255,drug_target_interaction,Protein::433,1.0
Durg::616,drug_target_interaction,Protein::330,1.0
Durg::140,drug_target_interaction,Protein::195,1.0
Durg::12,drug_target_interaction,Protein::71,1.0
Durg::396,drug_target_interaction,Protein::71,1.0
Durg::658,drug_target_interaction,Protein::39,1.0
Durg::196,drug_target_interaction,Protein::482,1.0
Durg::499,drug_target_interaction,Protein::505,1.0
Durg::317,drug_target_interaction,Protein::194,1.0
Durg::287,drug_target_interaction,Protein::90,1.0
Durg::252,drug_target_interaction,Protein::328,1.0
Durg::92,drug_target_interaction,Protein::164,1.0
Durg::43,drug_target_interaction,Protein::1168,1.0
Durg::542,drug_target_interaction,Protein::185,1.0
Durg::564,drug_target_interaction,Protein::435,1.0
Durg::191,drug_target_interaction,Protein::164,1.0
Durg::93,drug_target_interaction,Protein::1175,1.0
Durg::145,drug_target_interaction,Protein::435,1.0
Durg::361,drug_target_interaction,Protein::605,1.0
Durg::12,drug_target_interaction,Protein::273,1.0
Durg::485,drug_target_interaction,Protein::461,1.0
Durg::255,drug_target_interaction,Protein::106,1.0
Durg::694,drug_target_interaction,Protein::223,1.0
Durg::524,drug_target_interaction,Protein::232,1.0
Durg::668,drug_target_interaction,Protein::1168,1.0
Durg::433,drug_target_interaction,Protein::852,1.0
Durg::148,drug_target_interaction,Protein::165,1.0
Durg::454,drug_target_interaction,Protein::461,1.0
Durg::561,drug_target_interaction,Protein::48,1.0
Durg::110,drug_target_interaction,Protein::302,1.0
Durg::694,drug_target_interaction,Protein::164,1.0
Durg::669,drug_target_interaction,Protein::326,1.0
Durg::588,drug_target_interaction,Protein::12,1.0
Durg::382,drug_target_interaction,Protein::311,1.0
Durg::431,drug_target_interaction,Protein::430,1.0
Durg::567,drug_target_interaction,Protein::366,1.0
Durg::528,drug_target_interaction,Protein::1202,1.0
Durg::333,drug_target_interaction,Protein::89,1.0
Durg::182,drug_target_interaction,Protein::460,1.0
Durg::58,drug_target_interaction,Protein::164,1.0
Durg::46,drug_target_interaction,Protein::186,1.0
Durg::133,drug_target_interaction,Protein::248,1.0
Durg::346,drug_target_interaction,Protein::368,1.0
Durg::351,drug_target_interaction,Protein::58,1.0
Durg::532,drug_target_interaction,Protein::390,1.0
Durg::504,drug_target_interaction,Protein::1201,1.0
Durg::523,drug_target_interaction,Protein::987,1.0
Durg::314,drug_target_interaction,Protein::426,1.0
Durg::170,drug_target_interaction,Protein::164,1.0
Durg::686,drug_target_interaction,Protein::430,1.0
Durg::276,drug_target_interaction,Protein::186,1.0
Durg::245,drug_target_interaction,Protein::164,1.0
Durg::141,drug_target_interaction,Protein::113,1.0
Durg::615,drug_target_interaction,Protein::6,1.0
Durg::543,drug_target_interaction,Protein::366,1.0
Durg::616,drug_target_interaction,Protein::435,1.0
Durg::134,drug_target_interaction,Protein::916,1.0
Durg::521,drug_target_interaction,Protein::394,1.0
Durg::585,drug_target_interaction,Protein::243,1.0
Durg::371,drug_target_interaction,Protein::83,1.0
Durg::651,drug_target_interaction,Protein::124,1.0
Durg::370,drug_target_interaction,Protein::114,1.0
Durg::175,drug_target_interaction,Protein::430,1.0
Durg::441,drug_target_interaction,Protein::696,1.0
Durg::251,drug_target_interaction,Protein::201,1.0
Durg::120,drug_target_interaction,Protein::12,1.0
Durg::370,drug_target_interaction,Protein::377,1.0
Durg::48,drug_target_interaction,Protein::221,1.0
Durg::499,drug_target_interaction,Protein::998,1.0
Durg::176,drug_target_interaction,Protein::401,1.0
Durg::593,drug_target_interaction,Protein::311,1.0
Durg::15,drug_target_interaction,Protein::366,1.0
Durg::185,drug_target_interaction,Protein::12,1.0
Durg::86,drug_target_interaction,Protein::144,1.0
Durg::427,drug_target_interaction,Protein::418,1.0
Durg::439,drug_target_interaction,Protein::374,1.0
Durg::638,drug_target_interaction,Protein::985,1.0
Durg::616,drug_target_interaction,Protein::288,1.0
Durg::93,drug_target_interaction,Protein::407,1.0
Durg::120,drug_target_interaction,Protein::374,1.0
Durg::163,drug_target_interaction,Protein::327,1.0
Durg::580,drug_target_interaction,Protein::310,1.0
Durg::291,drug_target_interaction,Protein::986,1.0
Durg::58,drug_target_interaction,Protein::221,1.0
Durg::685,drug_target_interaction,Protein::98,1.0
Durg::661,drug_target_interaction,Protein::641,1.0
Durg::389,drug_target_interaction,Protein::288,1.0
Durg::316,drug_target_interaction,Protein::435,1.0
Durg::225,drug_target_interaction,Protein::407,1.0
Durg::259,drug_target_interaction,Protein::988,1.0
Durg::521,drug_target_interaction,Protein::1009,1.0
Durg::505,drug_target_interaction,Protein::108,1.0
Durg::590,drug_target_interaction,Protein::460,1.0
Durg::64,drug_target_interaction,Protein::1174,1.0
Durg::225,drug_target_interaction,Protein::49,1.0
Durg::268,drug_target_interaction,Protein::1022,1.0
Durg::420,drug_target_interaction,Protein::289,1.0
Durg::448,drug_target_interaction,Protein::435,1.0
Durg::64,drug_target_interaction,Protein::322,1.0
Durg::19,drug_target_interaction,Protein::119,1.0
Durg::321,drug_target_interaction,Protein::183,1.0
Durg::511,drug_target_interaction,Protein::240,1.0
Durg::196,drug_target_interaction,Protein::512,1.0
Durg::368,drug_target_interaction,Protein::119,1.0
Durg::388,drug_target_interaction,Protein::302,1.0
Durg::167,drug_target_interaction,Protein::426,1.0
Durg::120,drug_target_interaction,Protein::221,1.0
Durg::48,drug_target_interaction,Protein::175,1.0
Durg::153,drug_target_interaction,Protein::73,1.0
Durg::102,drug_target_interaction,Protein::98,1.0
Durg::50,drug_target_interaction,Protein::223,1.0
Durg::101,drug_target_interaction,Protein::328,1.0
Durg::529,drug_target_interaction,Protein::223,1.0
Durg::581,drug_target_interaction,Protein::493,1.0
Durg::120,drug_target_interaction,Protein::256,1.0
Durg::677,drug_target_interaction,Protein::435,1.0
Durg::204,drug_target_interaction,Protein::10,1.0
Durg::361,drug_target_interaction,Protein::144,1.0
Durg::72,drug_target_interaction,Protein::430,1.0
Durg::669,drug_target_interaction,Protein::366,1.0
Durg::514,drug_target_interaction,Protein::1503,1.0
Durg::431,drug_target_interaction,Protein::49,1.0
Durg::622,drug_target_interaction,Protein::244,1.0
Durg::521,drug_target_interaction,Protein::613,1.0
Durg::329,drug_target_interaction,Protein::12,1.0
Durg::451,drug_target_interaction,Protein::240,1.0
Durg::502,drug_target_interaction,Protein::33,1.0
Durg::121,drug_target_interaction,Protein::614,1.0
Durg::624,drug_target_interaction,Protein::164,1.0
Durg::123,drug_target_interaction,Protein::194,1.0
Durg::491,drug_target_interaction,Protein::150,1.0
Durg::597,drug_target_interaction,Protein::407,1.0
Durg::89,drug_target_interaction,Protein::440,1.0
Durg::616,drug_target_interaction,Protein::461,1.0
Durg::550,drug_target_interaction,Protein::248,1.0
Durg::616,drug_target_interaction,Protein::561,1.0
Durg::465,drug_target_interaction,Protein::164,1.0
Durg::266,drug_target_interaction,Protein::686,1.0
Durg::120,drug_target_interaction,Protein::26,1.0
Durg::637,drug_target_interaction,Protein::208,1.0
Durg::388,drug_target_interaction,Protein::421,1.0
Durg::93,drug_target_interaction,Protein::26,1.0
Durg::564,drug_target_interaction,Protein::256,1.0
Durg::277,drug_target_interaction,Protein::164,1.0
Durg::222,drug_target_interaction,Protein::426,1.0
Durg::138,drug_target_interaction,Protein::1202,1.0
Durg::101,drug_target_interaction,Protein::49,1.0
Durg::264,drug_target_interaction,Protein::442,1.0
Durg::48,drug_target_interaction,Protein::288,1.0
Durg::539,drug_target_interaction,Protein::509,1.0
Durg::12,drug_target_interaction,Protein::460,1.0
Durg::199,drug_target_interaction,Protein::857,1.0
Durg::210,drug_target_interaction,Protein::773,1.0
Durg::529,drug_target_interaction,Protein::256,1.0
Durg::22,drug_target_interaction,Protein::449,1.0
Durg::564,drug_target_interaction,Protein::328,1.0
Durg::101,drug_target_interaction,Protein::330,1.0
Durg::616,drug_target_interaction,Protein::407,1.0
Durg::588,drug_target_interaction,Protein::326,1.0
Durg::607,drug_target_interaction,Protein::1169,1.0
Durg::292,drug_target_interaction,Protein::995,1.0
Durg::451,drug_target_interaction,Protein::362,1.0
Durg::120,drug_target_interaction,Protein::309,1.0
Durg::388,drug_target_interaction,Protein::987,1.0
Durg::85,drug_target_interaction,Protein::273,1.0
Durg::288,drug_target_interaction,Protein::346,1.0
Durg::471,drug_target_interaction,Protein::426,1.0
Durg::329,drug_target_interaction,Protein::326,1.0
Durg::268,drug_target_interaction,Protein::635,1.0
Durg::120,drug_target_interaction,Protein::175,1.0
Durg::624,drug_target_interaction,Protein::309,1.0
Durg::247,drug_target_interaction,Protein::150,1.0
Durg::463,drug_target_interaction,Protein::119,1.0
Durg::58,drug_target_interaction,Protein::326,1.0
Durg::271,drug_target_interaction,Protein::248,1.0
Durg::316,drug_target_interaction,Protein::288,1.0
Durg::36,drug_target_interaction,Protein::426,1.0
Durg::201,drug_target_interaction,Protein::322,1.0
Durg::340,drug_target_interaction,Protein::330,1.0
Durg::228,drug_target_interaction,Protein::278,1.0
Durg::88,drug_target_interaction,Protein::150,1.0
Durg::93,drug_target_interaction,Protein::232,1.0
Durg::662,drug_target_interaction,Protein::49,1.0
Durg::652,drug_target_interaction,Protein::592,1.0
Durg::10,drug_target_interaction,Protein::985,1.0
Durg::121,drug_target_interaction,Protein::859,1.0
Durg::271,drug_target_interaction,Protein::232,1.0
Durg::644,drug_target_interaction,Protein::242,1.0
Durg::707,drug_target_interaction,Protein::327,1.0
Durg::50,drug_target_interaction,Protein::12,1.0
Durg::492,drug_target_interaction,Protein::417,1.0
Durg::335,drug_target_interaction,Protein::175,1.0
Durg::64,drug_target_interaction,Protein::26,1.0
Durg::691,drug_target_interaction,Protein::175,1.0
Durg::309,drug_target_interaction,Protein::380,1.0
Durg::41,drug_target_interaction,Protein::452,1.0
Durg::602,drug_target_interaction,Protein::1299,1.0
Durg::537,drug_target_interaction,Protein::279,1.0
Durg::93,drug_target_interaction,Protein::256,1.0
Durg::188,drug_target_interaction,Protein::1119,1.0
Durg::60,drug_target_interaction,Protein::183,1.0
Durg::262,drug_target_interaction,Protein::400,1.0
Durg::529,drug_target_interaction,Protein::309,1.0
Durg::675,drug_target_interaction,Protein::89,1.0
Durg::581,drug_target_interaction,Protein::302,1.0
Durg::317,drug_target_interaction,Protein::1160,1.0
Durg::508,drug_target_interaction,Protein::617,1.0
Durg::432,drug_target_interaction,Protein::108,1.0
Durg::144,drug_target_interaction,Protein::1166,1.0
Durg::603,drug_target_interaction,Protein::394,1.0
Durg::225,drug_target_interaction,Protein::256,1.0
Durg::581,drug_target_interaction,Protein::985,1.0
Durg::101,drug_target_interaction,Protein::175,1.0
Durg::626,drug_target_interaction,Protein::278,1.0
Durg::93,drug_target_interaction,Protein::528,1.0
Durg::626,drug_target_interaction,Protein::466,1.0
Durg::289,drug_target_interaction,Protein::430,1.0
Durg::396,drug_target_interaction,Protein::273,1.0
Durg::371,drug_target_interaction,Protein::12,1.0
Durg::595,drug_target_interaction,Protein::720,1.0
Durg::324,drug_target_interaction,Protein::407,1.0
Durg::236,drug_target_interaction,Protein::25,1.0
Durg::373,drug_target_interaction,Protein::49,1.0
Durg::310,drug_target_interaction,Protein::71,1.0
Durg::121,drug_target_interaction,Protein::568,1.0
Durg::201,drug_target_interaction,Protein::49,1.0
Durg::573,drug_target_interaction,Protein::310,1.0
Durg::508,drug_target_interaction,Protein::39,1.0
Durg::48,drug_target_interaction,Protein::328,1.0
Durg::99,drug_target_interaction,Protein::145,1.0
Durg::374,drug_target_interaction,Protein::670,1.0
Durg::46,drug_target_interaction,Protein::1180,1.0
Durg::316,drug_target_interaction,Protein::164,1.0
Durg::668,drug_target_interaction,Protein::988,1.0
Durg::138,drug_target_interaction,Protein::994,1.0
Durg::496,drug_target_interaction,Protein::253,1.0
Durg::115,drug_target_interaction,Protein::858,1.0
Durg::151,drug_target_interaction,Protein::460,1.0
Durg::92,drug_target_interaction,Protein::223,1.0
Durg::261,drug_target_interaction,Protein::608,1.0
Durg::518,drug_target_interaction,Protein::426,1.0
Durg::410,drug_target_interaction,Protein::311,1.0
Durg::26,drug_target_interaction,Protein::48,1.0
Durg::694,drug_target_interaction,Protein::309,1.0
Durg::504,drug_target_interaction,Protein::648,1.0
Durg::480,drug_target_interaction,Protein::10,1.0
Durg::48,drug_target_interaction,Protein::374,1.0
Durg::292,drug_target_interaction,Protein::276,1.0
Durg::236,drug_target_interaction,Protein::300,1.0
Durg::355,drug_target_interaction,Protein::291,1.0
Durg::175,drug_target_interaction,Protein::232,1.0
Durg::133,drug_target_interaction,Protein::993,1.0
Durg::289,drug_target_interaction,Protein::288,1.0
Durg::546,drug_target_interaction,Protein::317,1.0
Durg::64,drug_target_interaction,Protein::1173,1.0
Durg::631,drug_target_interaction,Protein::487,1.0
Durg::488,drug_target_interaction,Protein::186,1.0
Durg::120,drug_target_interaction,Protein::330,1.0
Durg::695,drug_target_interaction,Protein::120,1.0
Durg::686,drug_target_interaction,Protein::206,1.0
Durg::655,drug_target_interaction,Protein::138,1.0
Durg::570,drug_target_interaction,Protein::366,1.0
Durg::694,drug_target_interaction,Protein::394,1.0
Durg::388,drug_target_interaction,Protein::460,1.0
Durg::94,drug_target_interaction,Protein::857,1.0
Durg::58,drug_target_interaction,Protein::165,1.0
Durg::20,drug_target_interaction,Protein::538,1.0
Durg::12,drug_target_interaction,Protein::1166,1.0
Durg::158,drug_target_interaction,Protein::31,1.0
Durg::564,drug_target_interaction,Protein::164,1.0
Durg::141,drug_target_interaction,Protein::85,1.0
Durg::382,drug_target_interaction,Protein::514,1.0
Durg::668,drug_target_interaction,Protein::460,1.0
Durg::43,drug_target_interaction,Protein::1166,1.0
Durg::388,drug_target_interaction,Protein::71,1.0
Durg::228,drug_target_interaction,Protein::460,1.0
Durg::389,drug_target_interaction,Protein::621,1.0
Durg::41,drug_target_interaction,Protein::290,1.0
Durg::32,drug_target_interaction,Protein::328,1.0
Durg::472,drug_target_interaction,Protein::49,1.0
Durg::257,drug_target_interaction,Protein::328,1.0
Durg::9,drug_target_interaction,Protein::366,1.0
Durg::522,drug_target_interaction,Protein::115,1.0
Durg::322,drug_target_interaction,Protein::358,1.0
Durg::580,drug_target_interaction,Protein::225,1.0
Durg::588,drug_target_interaction,Protein::309,1.0
Durg::255,drug_target_interaction,Protein::200,1.0
Durg::93,drug_target_interaction,Protein::1174,1.0
Durg::516,drug_target_interaction,Protein::150,1.0
Durg::225,drug_target_interaction,Protein::139,1.0
Durg::49,drug_target_interaction,Protein::256,1.0
Durg::621,drug_target_interaction,Protein::435,1.0
Durg::439,drug_target_interaction,Protein::461,1.0
Durg::120,drug_target_interaction,Protein::322,1.0
Durg::340,drug_target_interaction,Protein::194,1.0
Durg::626,drug_target_interaction,Protein::223,1.0
Durg::481,drug_target_interaction,Protein::42,1.0
Durg::2,drug_target_interaction,Protein::530,1.0
Durg::123,drug_target_interaction,Protein::394,1.0
Durg::332,drug_target_interaction,Protein::175,1.0
Durg::120,drug_target_interaction,Protein::435,1.0
Durg::74,drug_target_interaction,Protein::326,1.0
Durg::145,drug_target_interaction,Protein::256,1.0
Durg::176,drug_target_interaction,Protein::170,1.0
Durg::301,drug_target_interaction,Protein::33,1.0
Durg::659,drug_target_interaction,Protein::81,1.0
Durg::616,drug_target_interaction,Protein::221,1.0
Durg::340,drug_target_interaction,Protein::221,1.0
Durg::376,drug_target_interaction,Protein::232,1.0
Durg::278,drug_target_interaction,Protein::459,1.0
Durg::85,drug_target_interaction,Protein::475,1.0
Durg::514,drug_target_interaction,Protein::459,1.0
Durg::12,drug_target_interaction,Protein::987,1.0
Durg::190,drug_target_interaction,Protein::738,1.0
Durg::329,drug_target_interaction,Protein::83,1.0
Durg::262,drug_target_interaction,Protein::722,1.0
Durg::569,drug_target_interaction,Protein::288,1.0
Durg::534,drug_target_interaction,Protein::49,1.0
Durg::409,drug_target_interaction,Protein::108,1.0
Durg::668,drug_target_interaction,Protein::302,1.0
Durg::108,drug_target_interaction,Protein::430,1.0
Durg::388,drug_target_interaction,Protein::989,1.0
Durg::585,drug_target_interaction,Protein::67,1.0
Durg::530,drug_target_interaction,Protein::144,1.0
Durg::255,drug_target_interaction,Protein::201,1.0
Durg::185,drug_target_interaction,Protein::288,1.0
Durg::375,drug_target_interaction,Protein::280,1.0
Durg::550,drug_target_interaction,Protein::452,1.0
Durg::376,drug_target_interaction,Protein::49,1.0
Durg::143,drug_target_interaction,Protein::998,1.0
Durg::469,drug_target_interaction,Protein::931,1.0
Durg::479,drug_target_interaction,Protein::858,1.0
Durg::569,drug_target_interaction,Protein::232,1.0
Durg::477,drug_target_interaction,Protein::366,1.0
Durg::442,drug_target_interaction,Protein::442,1.0
Durg::225,drug_target_interaction,Protein::278,1.0
Durg::338,drug_target_interaction,Protein::423,1.0
Durg::668,drug_target_interaction,Protein::1167,1.0
Durg::183,drug_target_interaction,Protein::71,1.0
Durg::552,drug_target_interaction,Protein::505,1.0
Durg::17,drug_target_interaction,Protein::394,1.0
Durg::473,drug_target_interaction,Protein::295,1.0
Durg::101,drug_target_interaction,Protein::26,1.0
Durg::424,drug_target_interaction,Protein::127,1.0
Durg::624,drug_target_interaction,Protein::26,1.0
Durg::554,drug_target_interaction,Protein::115,1.0
Durg::550,drug_target_interaction,Protein::505,1.0
Durg::380,drug_target_interaction,Protein::150,1.0
Durg::574,drug_target_interaction,Protein::366,1.0
Durg::300,drug_target_interaction,Protein::457,1.0
Durg::14,drug_target_interaction,Protein::990,1.0
Durg::669,drug_target_interaction,Protein::922,1.0
Durg::101,drug_target_interaction,Protein::232,1.0
Durg::121,drug_target_interaction,Protein::860,1.0
Durg::14,drug_target_interaction,Protein::992,1.0
Durg::40,drug_target_interaction,Protein::1000,1.0
Durg::121,drug_target_interaction,Protein::312,1.0
Durg::101,drug_target_interaction,Protein::164,1.0
Durg::299,drug_target_interaction,Protein::1506,1.0
Durg::696,drug_target_interaction,Protein::358,1.0
Durg::672,drug_target_interaction,Protein::1166,1.0
Durg::573,drug_target_interaction,Protein::1162,1.0
Durg::211,drug_target_interaction,Protein::124,1.0
Durg::536,drug_target_interaction,Protein::123,1.0
Durg::378,drug_target_interaction,Protein::149,1.0
Durg::630,drug_target_interaction,Protein::560,1.0
Durg::425,drug_target_interaction,Protein::358,1.0
Durg::330,drug_target_interaction,Protein::26,1.0
Durg::314,drug_target_interaction,Protein::1029,1.0
Durg::374,drug_target_interaction,Protein::279,1.0
Durg::101,drug_target_interaction,Protein::326,1.0
Durg::148,drug_target_interaction,Protein::374,1.0
Durg::339,drug_target_interaction,Protein::246,1.0
Durg::41,drug_target_interaction,Protein::460,1.0
Durg::43,drug_target_interaction,Protein::71,1.0
Durg::561,drug_target_interaction,Protein::98,1.0
Durg::356,drug_target_interaction,Protein::1172,1.0
Durg::158,drug_target_interaction,Protein::427,1.0
Durg::108,drug_target_interaction,Protein::278,1.0
Durg::85,drug_target_interaction,Protein::493,1.0
Durg::579,drug_target_interaction,Protein::851,1.0
Durg::306,drug_target_interaction,Protein::460,1.0
Durg::14,drug_target_interaction,Protein::991,1.0
Durg::16,drug_target_interaction,Protein::430,1.0
Durg::364,drug_target_interaction,Protein::10,1.0
Durg::261,drug_target_interaction,Protein::646,1.0
Durg::333,drug_target_interaction,Protein::1139,1.0
Durg::279,drug_target_interaction,Protein::546,1.0
Durg::120,drug_target_interaction,Protein::288,1.0
Durg::322,drug_target_interaction,Protein::243,1.0
Durg::10,drug_target_interaction,Protein::493,1.0
Durg::337,drug_target_interaction,Protein::115,1.0
Durg::165,drug_target_interaction,Protein::185,1.0
Durg::310,drug_target_interaction,Protein::460,1.0
Durg::101,drug_target_interaction,Protein::309,1.0
Durg::691,drug_target_interaction,Protein::358,1.0
Durg::61,drug_target_interaction,Protein::48,1.0
Durg::460,drug_target_interaction,Protein::421,1.0
Durg::329,drug_target_interaction,Protein::194,1.0
Durg::206,drug_target_interaction,Protein::12,1.0
Durg::524,drug_target_interaction,Protein::49,1.0
Durg::325,drug_target_interaction,Protein::243,1.0
Durg::672,drug_target_interaction,Protein::460,1.0
Durg::84,drug_target_interaction,Protein::289,1.0
Durg::60,drug_target_interaction,Protein::460,1.0
Durg::12,drug_target_interaction,Protein::989,1.0
Durg::377,drug_target_interaction,Protein::423,1.0
Durg::431,drug_target_interaction,Protein::99,1.0
Durg::261,drug_target_interaction,Protein::10,1.0
Durg::179,drug_target_interaction,Protein::150,1.0
Durg::168,drug_target_interaction,Protein::549,1.0
Durg::346,drug_target_interaction,Protein::60,1.0
Durg::668,drug_target_interaction,Protein::987,1.0
Durg::257,drug_target_interaction,Protein::98,1.0
Durg::607,drug_target_interaction,Protein::460,1.0
Durg::172,drug_target_interaction,Protein::240,1.0
Durg::628,drug_target_interaction,Protein::16,1.0
Durg::675,drug_target_interaction,Protein::722,1.0
Durg::600,drug_target_interaction,Protein::426,1.0
Durg::597,drug_target_interaction,Protein::288,1.0
Durg::68,drug_target_interaction,Protein::512,1.0
Durg::93,drug_target_interaction,Protein::139,1.0
Durg::499,drug_target_interaction,Protein::993,1.0
Durg::486,drug_target_interaction,Protein::242,1.0
Durg::12,drug_target_interaction,Protein::1170,1.0
Durg::573,drug_target_interaction,Protein::627,1.0
Durg::294,drug_target_interaction,Protein::326,1.0
Durg::694,drug_target_interaction,Protein::221,1.0
Durg::43,drug_target_interaction,Protein::273,1.0
Durg::458,drug_target_interaction,Protein::98,1.0
Durg::596,drug_target_interaction,Protein::421,1.0
Durg::374,drug_target_interaction,Protein::546,1.0
Durg::310,drug_target_interaction,Protein::1168,1.0
Durg::672,drug_target_interaction,Protein::1169,1.0
Durg::213,drug_target_interaction,Protein::394,1.0
Durg::57,drug_target_interaction,Protein::394,1.0
Durg::694,drug_target_interaction,Protein::256,1.0
Durg::2,drug_target_interaction,Protein::146,1.0
Durg::469,drug_target_interaction,Protein::102,1.0
Durg::631,drug_target_interaction,Protein::483,1.0
Durg::587,drug_target_interaction,Protein::196,1.0
Durg::144,drug_target_interaction,Protein::460,1.0
Durg::120,drug_target_interaction,Protein::461,1.0
Durg::101,drug_target_interaction,Protein::165,1.0
Durg::702,drug_target_interaction,Protein::73,1.0
Durg::486,drug_target_interaction,Protein::183,1.0
Durg::101,drug_target_interaction,Protein::461,1.0
Durg::623,drug_target_interaction,Protein::290,1.0
Durg::176,drug_target_interaction,Protein::377,1.0
Durg::616,drug_target_interaction,Protein::309,1.0
Durg::478,drug_target_interaction,Protein::246,1.0
Durg::535,drug_target_interaction,Protein::99,1.0
Durg::179,drug_target_interaction,Protein::10,1.0
Durg::110,drug_target_interaction,Protein::987,1.0
Durg::148,drug_target_interaction,Protein::12,1.0
Durg::194,drug_target_interaction,Protein::48,1.0
Durg::444,drug_target_interaction,Protein::194,1.0
Durg::569,drug_target_interaction,Protein::583,1.0
Durg::524,drug_target_interaction,Protein::241,1.0
Durg::539,drug_target_interaction,Protein::1202,1.0
Durg::201,drug_target_interaction,Protein::139,1.0
Durg::468,drug_target_interaction,Protein::656,1.0
Durg::50,drug_target_interaction,Protein::83,1.0
Durg::19,drug_target_interaction,Protein::856,1.0
Durg::491,drug_target_interaction,Protein::1146,1.0
Durg::272,drug_target_interaction,Protein::435,1.0
Durg::669,drug_target_interaction,Protein::164,1.0
Durg::588,drug_target_interaction,Protein::461,1.0
Durg::588,drug_target_interaction,Protein::164,1.0
Durg::244,drug_target_interaction,Protein::10,1.0
Durg::151,drug_target_interaction,Protein::493,1.0
Durg::110,drug_target_interaction,Protein::988,1.0
Durg::489,drug_target_interaction,Protein::858,1.0
Durg::148,drug_target_interaction,Protein::194,1.0
Durg::347,drug_target_interaction,Protein::361,1.0
Durg::271,drug_target_interaction,Protein::998,1.0
Durg::148,drug_target_interaction,Protein::83,1.0
Durg::597,drug_target_interaction,Protein::374,1.0
Durg::50,drug_target_interaction,Protein::368,1.0
Durg::46,drug_target_interaction,Protein::1038,1.0
Durg::526,drug_target_interaction,Protein::1066,1.0
Durg::567,drug_target_interaction,Protein::328,1.0
Durg::622,drug_target_interaction,Protein::2,1.0
